Sensor ID;Sensorname;Gemessen am;datum_tag;tag_nr;Wochentag;Arbeitstag;Passanten in Richtung Neumarkt;Passanten in Richtung Multergasse;Passanten in beide Richtungen (Summe);Standort;device_name;geo_point_2d
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-02T10:00:04.117000+01:00;2024-11-02;6;Samstag;Wochenende;14.0;30.0;44.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-09-24T00:00:02.425000+02:00;2024-09-23;1;Montag;Werktage;1.0;1.0;2.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-02T11:00:05.590000+01:00;2024-11-02;6;Samstag;Wochenende;46.0;77.0;123.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-02T15:00:04.225000+01:00;2024-11-02;6;Samstag;Wochenende;56.0;126.0;182.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-02T17:00:02.689000+01:00;2024-11-02;6;Samstag;Wochenende;62.0;143.0;205.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-01T11:00:02.245000+01:00;2024-11-01;5;Freitag;Werktage;9.0;13.0;22.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-01T13:00:03.278000+01:00;2024-11-01;5;Freitag;Werktage;12.0;25.0;37.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-09-24T06:00:09.189000+02:00;2024-09-24;2;Dienstag;Werktage;4.0;4.0;8.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-09-24T12:00:05.965000+02:00;2024-09-24;2;Dienstag;Werktage;83.0;100.0;183.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-03T00:00:06.378000+01:00;2024-11-02;6;Samstag;Wochenende;6.0;13.0;19.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-11-01T21:00:07.042000+01:00;2024-11-01;5;Freitag;Werktage;10.0;10.0;20.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-09-24T20:00:05.771000+02:00;2024-09-24;2;Dienstag;Werktage;28.0;30.0;58.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
8a360f09-d606-4d26-b79f-3b6138002b8c;Parametric | PCR2 | 7E10;2024-09-24T21:00:07.011000+02:00;2024-09-24;2;Dienstag;Werktage;18.0;17.0;35.0;"{""coordinates"": [9.373069722530204, 47.42299553172947], ""type"": ""Point""}";Parametric | PCR2 | 7E10;47.42299553172947, 9.373069722530204
